over_p [bar]	q [Nl/min]
4,599	43,92196826
4,591	43,90375118
4,585	43,94110497
4,583	44,26820304
4,579	44,27885485
4,576	43,82547499
4,568	44,2615054
4,562	43,96673198
4,554	43,634421
4,547	43,86556307
4,543	43,90640637
4,535	44,06945533
4,529	43,94632057
4,526	43,65343647
4,522	43,75478996
4,519	43,68680831
4,511	43,03911144
4,506	43,74698805
4,497	43,28263769
4,491	43,14613291
4,487	43,79637099
4,483	43,71383253
4,476	43,35323229
4,468	43,17354544
4,464	42,79063059
4,457	43,20149896
4,45	42,99060644
4,444	42,86805562
4,442	42,94117335
4,439	42,94814309
4,433	43,15314852
4,428	42,45175089
4,424	42,636677
4,415	42,9835877
4,411	42,41070224
4,408	42,27238217
4,399	42,73065282
4,392	42,67792163
4,389	42,70834247
4,385	42,27232711
4,377	42,11934586
4,37	42,31435182
4,367	42,60925574
4,364	41,88055143
4,356	42,71143569
4,352	42,72704997
4,347	42,40268556
4,344	42,61799407
4,337	42,43744326
4,331	42,10994384
4,328	42,15817952
4,325	41,87661888
4,318	42,21870532
4,312	42,31987223
4,308	41,87164347
4,3	41,84057797
4,293	42,21701651
4,289	41,75948901
4,281	41,75419688
4,274	41,84821402
4,271	41,40600414
4,268	42,10423776
4,264	41,67730798
4,257	41,138928
4,253	41,2648162
4,249	41,42605703
4,241	41,55281929
4,234	41,43003552
4,229	41,46827865
4,227	41,53206373
4,22	41,1103365
4,214	41,43497383
4,211	41,17756911
4,209	41,01554206
4,206	41,35567871
4,2	41,41159513
4,196	41,54838945
4,186	41,29775139
4,179	40,68039806
4,174	41,12533133
4,171	41,31664585
4,168	41,41229202
4,161	41,29271245
4,154	40,74852785
4,151	41,22300483
4,148	40,45177059
4,14	40,41269927
4,136	41,14634131
4,133	40,42496589
4,129	40,71529857
4,121	40,71671666
4,114	40,41273419
4,111	40,40352562
4,108	40,17980807
4,101	40,46734241
4,096	40,2829654
4,092	40,68448052
4,084	40,12755591
4,079	39,89788475
4,076	40,11647646
4,072	39,94853555
4,064	39,64749207
4,059	40,13184291
4,056	39,61406237
4,047	39,845548
4,04	39,49769721
4,035	39,74196953
4,033	39,79875594
4,031	39,83209506
4,022	40,09219722
4,018	40,0355213
4,014	39,51088265
4,006	39,13207184
4	39,82318884
3,998	39,40484257
3,994	39,11836264
3,987	39,63056883
3,982	39,74548874
3,978	39,39852472
3,975	39,85803804
3,967	39,57760941
3,96	39,55039275
3,956	39,6696445
3,953	38,88664613
3,946	39,58801334
3,941	39,53022057
3,938	39,37311228
3,929	38,97259174
3,923	39,20289748
3,92	39,04511896
3,917	38,9809982
3,908	39,25000052
3,903	38,35768274
3,899	38,94926874
3,89	38,48490708
3,882	38,59550739
3,878	38,46767504
3,871	38,78594936
3,865	38,96353966
3,859	39,00194998
3,855	38,93729035
3,849	38,64997649
3,843	38,35638654
3,84	38,33714605
